LAMBX,LAMBY,DATE,PRENEI_Q,PRELIQ_Q,T_Q,FF_Q,Q_Q,DLI_Q,SSI_Q,HU_Q,EVAP_Q,ETP_Q,PE_Q,SWI_Q,DRAINC_Q,RUNC_Q,RESR_NEIGE_Q,RESR_NEIGE6_Q,HTEURNEIGE_Q,HTEURNEIGE6_Q,HTEURNEIGEX_Q,SNOW_FRAC_Q,ECOULEMENT_Q,WG_RACINE_Q,WGI_RACINE_Q,TINF_H_Q,TSUP_H_Q,LAMBX (hm),LAMBY (hm)
6200,18170,20200101,0.0,0.0,5.3,1.3,4.679,2674.7,808.2,82.0,0.8,1.2,-0.8,0.852,0.7,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.301,0.000,1.6,10.9,6200,18170
6200,18170,20200102,0.0,0.0,6.4,2.1,5.426,2788.1,685.8,87.2,0.5,0.7,-0.5,0.846,0.7,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.300,0.000,2.1,8.5,6200,18170
6200,18170,20200103,0.0,0.1,8.2,3.5,5.642,2517.8,839.6,80.3,0.7,1.1,-0.6,0.839,0.6,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.299,0.000,6.5,9.9,6200,18170
6200,18170,20200104,0.0,0.0,8.3,5.7,5.399,2503.0,790.4,76.4,1.1,1.6,-1.1,0.832,0.6,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.298,0.000,7.9,9.8,6200,18170
6200,18170,20200105,0.0,0.0,6.4,3.7,3.969,2376.6,951.3,65.2,1.2,2.2,-1.2,0.823,0.6,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.297,0.000,3.7,12.4,6200,18170
6200,18170,20200106,0.0,0.0,6.7,2.5,5.093,2587.9,776.7,80.0,0.7,1.0,-0.7,0.817,0.6,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.296,0.000,2.5,10.3,6200,18170
6200,18170,20200107,0.0,0.0,7.8,4.3,5.061,2600.4,818.2,74.0,0.8,1.5,-0.8,0.810,0.6,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.295,0.000,4.9,9.8,6200,18170
6200,18170,20200108,0.0,0.1,9.1,1.1,6.218,2718.5,588.6,83.3,0.5,0.8,-0.4,0.805,0.6,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.294,0.000,7.9,12.8,6200,18170
6200,18170,20200109,0.0,0.6,8.4,3.8,5.952,2641.6,711.9,83.9,0.7,1.0,-0.1,0.800,0.6,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.293,0.000,5.5,11.0,6200,18170
6200,18170,20200110,0.0,0.7,7.7,4.6,5.481,2692.2,654.9,80.8,1.2,1.3,-0.5,0.796,0.6,0.1,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.292,0.000,7.3,9.2,6200,18170
6200,18170,20200111,0.0,0.0,5.3,3.3,3.974,2358.1,961.4,69.8,1.0,1.9,-1.0,0.790,0.6,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.292,0.000,4.4,9.7,6200,18170
6200,18170,20200112,0.0,0.1,3.4,1.5,3.658,2334.9,961.8,73.8,0.8,1.2,-0.7,0.784,0.5,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.291,0.000,-0.5,9.0,6200,18170
6200,18170,20200113,0.0,0.1,4.2,2.5,3.722,2401.9,983.2,70.2,0.9,1.4,-0.8,0.778,0.5,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.289,0.000,-1.2,10.0,6200,18170
6200,18170,20200114,0.0,0.2,8.3,4.9,5.851,2670.8,852.6,82.9,0.9,1.1,-0.7,0.773,0.5,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.289,0.000,4.6,10.6,6200,18170
6200,18170,20200115,0.0,0.1,9.1,4.5,6.380,2627.4,848.9,85.9,0.7,1.2,-0.6,0.768,0.5,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.288,0.000,8.5,10.4,6200,18170
6200,18170,20200116,0.0,0.2,9.1,3.7,6.824,2773.7,723.2,91.8,0.5,0.8,-0.3,0.764,0.5,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.287,0.000,7.7,10.3,6200,18170
6200,18170,20200117,0.0,5.7,8.6,4.7,6.458,2933.3,293.3,88.7,1.7,0.6,4.0,0.771,0.5,0.4,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.287,0.000,6.5,10.5,6200,18170
6200,18170,20200118,0.0,0.0,5.2,2.1,4.208,2311.7,739.2,74.2,0.6,1.2,-0.6,0.771,0.5,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.288,0.000,3.3,10.3,6200,18170
6200,18170,20200119,0.0,0.0,3.9,3.4,2.846,1965.0,943.4,55.2,0.8,1.8,-0.8,0.766,0.5,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.287,0.001,2.3,7.3,6200,18170
6200,18170,20200120,0.0,3.9,1.9,2.0,3.301,2264.9,229.1,72.7,0.3,0.7,3.6,0.765,0.5,0.0,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.286,0.001,-0.8,3.7,6200,18170
6200,18170,20200121,0.0,10.5,5.6,5.9,4.603,2626.7,301.0,79.1,1.3,0.9,9.2,0.788,0.5,0.9,0.0,0.0,0.000,0.000,0.000,0.0,0.0,0.288,0.000,2.5,7.7,6200,18170
