num_maille;LAMBX;LAMBY;DATE;SWI_UNIF_MENS3;code_insee;nom
8496;754606;6313925;196901;1.100;34067;Cazilhac
8496;754606;6313925;196902;1.251;34067;Cazilhac
8496;754606;6313925;196903;1.461;34067;Cazilhac
8496;754606;6313925;196904;1.485;34067;Cazilhac
8496;754606;6313925;196905;1.458;34067;Cazilhac
8496;754606;6313925;196906;1.169;34067;Cazilhac
8496;754606;6313925;196907;0.885;34067;Cazilhac
8496;754606;6313925;196908;0.657;34067;Cazilhac
8496;754606;6313925;196909;0.663;34067;Cazilhac
8496;754606;6313925;196910;0.929;34067;Cazilhac
8496;754606;6313925;196911;1.225;34067;Cazilhac
8496;754606;6313925;196912;1.322;34067;Cazilhac
8496;754606;6313925;197001;1.387;34067;Cazilhac
8496;754606;6313925;197002;1.354;34067;Cazilhac
8496;754606;6313925;197003;1.303;34067;Cazilhac
8496;754606;6313925;197004;1.070;34067;Cazilhac
8496;754606;6313925;197005;0.905;34067;Cazilhac
8496;754606;6313925;197006;0.745;34067;Cazilhac
8496;754606;6313925;197007;0.577;34067;Cazilhac
8496;754606;6313925;197008;0.419;34067;Cazilhac
8496;754606;6313925;197009;0.352;34067;Cazilhac
8496;754606;6313925;197010;0.477;34067;Cazilhac
8496;754606;6313925;197011;0.632;34067;Cazilhac
8496;754606;6313925;197012;0.774;34067;Cazilhac
8496;754606;6313925;197101;0.913;34067;Cazilhac
8496;754606;6313925;197102;1.129;34067;Cazilhac
8496;754606;6313925;197103;1.270;34067;Cazilhac
8496;754606;6313925;197104;1.340;34067;Cazilhac
8496;754606;6313925;197105;1.253;34067;Cazilhac
8496;754606;6313925;197106;1.146;34067;Cazilhac
8496;754606;6313925;197107;0.887;34067;Cazilhac
8496;754606;6313925;197108;0.645;34067;Cazilhac
8496;754606;6313925;197109;0.495;34067;Cazilhac
8496;754606;6313925;197110;0.476;34067;Cazilhac
8496;754606;6313925;197111;0.518;34067;Cazilhac
8496;754606;6313925;197112;0.605;34067;Cazilhac
8496;754606;6313925;197201;0.931;34067;Cazilhac
8496;754606;6313925;197202;1.342;34067;Cazilhac
8496;754606;6313925;197203;1.649;34067;Cazilhac
8496;754606;6313925;197204;1.521;34067;Cazilhac
8496;754606;6313925;197205;1.229;34067;Cazilhac
