idPoint;Latitude;Longitude;Altitude;Date;ifm;ifm-max;iep-max;nsv2;is;code_INSEE
3504;43.2825;2.77996;98;20060101;0.0;0.0;1.0;2.0;461.2;34190
3504;43.2825;2.77996;98;20060102;0.0;0.0;1.0;2.0;462.8;34190
3504;43.2825;2.77996;98;20060103;0.1;0.3;1.0;2.0;464.5;34190
3504;43.2825;2.77996;98;20060104;0.4;0.4;1.0;2.0;467.5;34190
3504;43.2825;2.77996;98;20060105;0.6;1.3;1.0;2.0;470.4;34190
3504;43.2825;2.77996;98;20060106;1.7;1.7;1.0;2.0;472.4;34190
3504;43.2825;2.77996;98;20060107;0.0;0.0;1.0;2.0;462.6;34190
3504;43.2825;2.77996;98;20060108;0.0;0.0;1.0;2.0;464.8;34190
3504;43.2825;2.77996;98;20060109;0.2;0.3;1.0;2.0;466.7;34190
3504;43.2825;2.77996;98;20060110;0.6;0.6;1.0;2.0;468.0;34190
3504;43.2825;2.77996;98;20060111;0.2;0.2;1.0;2.0;462.6;34190
3504;43.2825;2.77996;98;20060112;0.4;0.4;1.0;2.0;463.7;34190
3504;43.2825;2.77996;98;20060113;0.5;0.6;1.0;2.0;464.3;34190
3504;43.2825;2.77996;98;20060114;0.6;0.6;1.0;2.0;464.9;34190
3504;43.2825;2.77996;98;20060115;0.6;0.6;1.0;2.0;465.8;34190
3504;43.2825;2.77996;98;20060116;0.9;1.0;1.0;2.0;466.7;34190
3504;43.2825;2.77996;98;20060117;0.7;1.0;1.0;2.0;467.4;34190
3504;43.2825;2.77996;98;20060118;0.6;0.8;1.0;2.0;467.4;34190
3504;43.2825;2.77996;98;20060119;0.8;1.2;1.0;2.0;469.1;34190
3504;43.2825;2.77996;98;20060120;2.9;3.5;2.0;2.0;470.6;34190
3504;43.2825;2.77996;98;20060121;4.9;4.9;2.0;2.0;472.7;34190
3504;43.2825;2.77996;98;20060122;1.7;2.5;1.0;2.0;474.3;34190
3504;43.2825;2.77996;98;20060123;1.8;1.9;1.0;2.0;476.2;34190
3504;43.2825;2.77996;98;20060124;2.3;3.4;1.0;2.0;478.2;34190
3504;43.2825;2.77996;98;20060125;3.8;3.8;1.0;2.0;480.1;34190
3504;43.2825;2.77996;98;20060126;0.7;0.7;1.0;2.0;482.0;34190
3504;43.2825;2.77996;98;20060127;1.1;1.4;1.0;2.0;483.4;34190
3504;43.2825;2.77996;98;20060128;0.4;0.4;1.0;2.0;475.9;34190
3504;43.2825;2.77996;98;20060129;0.2;0.2;1.0;2.0;468.7;34190
3504;43.2825;2.77996;98;20060130;0.3;0.5;1.0;2.0;468.7;34190
3504;43.2825;2.77996;98;20060131;0.5;0.5;1.0;2.0;469.8;34190
3504;43.2825;2.77996;98;20060201;0.7;0.7;1.0;2.0;471.0;34190
3504;43.2825;2.77996;98;20060202;1.0;1.0;1.0;2.0;472.4;34190
