idPoint;Latitude;Longitude;Altitude;code_INSEE;commune
3504.0;43.2825;2.77996;98.0;34190;Oupia
3507.0;43.2809;3.07511;16.0;34183;Nissan-lez-Enserune
3508.0;43.2801;3.17349;30.0;34135;Lespignan
3509.0;43.2793;3.27187;11.0;34299;Sérignan
3511.0;43.2774;3.46862;4.0;34003;Agde
3645.0;43.355;2.58349;378.0;34097;Félines-Minervois
3646.0;43.3547;2.682;319.0;34075;Cesseras
3647.0;43.3544;2.78051;232.0;34059;La Caunette
3649.0;43.3534;2.97753;106.0;34226;Quarante
3650.0;43.3527;3.07604;63.0;34155;Maureilhan
3651.0;43.352;3.17454;43.0;34032;Béziers
3652.0;43.3512;3.27304;45.0;34032;Béziers
3653.0;43.3503;3.37154;26.0;34166;Montblanc
3654.0;43.3493;3.47004;11.0;34101;Florensac
3655.0;43.3482;3.56853;1.0;34301;Sète
3789.0;43.4266;2.68243;611.0;34034;Boisset
3790.0;43.4263;2.78107;537.0;34269;Saint-Jean-de-Minervois
3791.0;43.4258;2.8797;362.0;34021;Babeau-Bouldoux
3792.0;43.4253;2.97833;176.0;34201;Pierrerue
3793.0;43.4246;3.07696;114.0;34074;Cessenon-sur-Orb
3794.0;43.4239;3.17559;72.0;34310;Thézan-lès-Béziers
3795.0;43.4231;3.27422;73.0;34300;Servian
3796.0;43.4222;3.37284;45.0;34325;Valros
3797.0;43.4212;3.47146;42.0;34101;Florensac
3798.0;43.4201;3.57007;16.0;34157;Mèze
3799.0;43.4189;3.66869;8.0;34301;Sète
3932.0;43.4985;2.68286;694.0;34086;Courniou
3933.0;43.4981;2.78162;476.0;34229;Riols
3934.0;43.4977;2.88038;525.0;34100;Ferrières-Poussarou
3935.0;43.4972;2.97914;267.0;34030;Berlou
3936.0;43.4965;3.07789;222.0;34279;Saint-Nazaire-de-Ladarez
3937.0;43.4958;3.17664;143.0;34018;Autignac
3938.0;43.495;3.27539;122.0;34109;Gabian
3939.0;43.4941;3.37414;76.0;34063;Caux
3940.0;43.4931;3.47288;54.0;34162;Montagnac
3941.0;43.492;3.57162;85.0;34341;Villeveyrac
3942.0;43.4908;3.67036;68.0;34213;Poussan
3943.0;43.4896;3.76909;58.0;34333;Vic-la-Gardiole
4075.0;43.5704;2.6833;850.0;34293;La Salvetat-sur-Agout
4076.0;43.57;2.78218;897.0;34107;Fraisse-sur-Agout
4077.0;43.5696;2.88107;582.0;34291;Saint-Vincent-d'Olargues
4078.0;43.5691;2.97995;445.0;34273;Saint-Martin-de-l'Arçon
4079.0;43.5684;3.07882;383.0;34008;Les Aires
4080.0;43.5677;3.1777;311.0;34096;Faugères
4081.0;43.5669;3.27657;261.0;34168;Montesquieu
4082.0;43.566;3.37544;166.0;34045;Cabrières
4083.0;43.565;3.47431;62.0;34013;Aspiran
4084.0;43.5639;3.57318;162.0;34328;Vendémian
4085.0;43.5627;3.67204;177.0;34088;Cournonterral
4086.0;43.5615;3.77089;53.0;34295;Saussan
4087.0;43.5601;3.86974;15.0;34129;Lattes
4088.0;43.5587;3.96859;2.0;34198;Pérols
4218.0;43.6423;2.68374;907.0;34293;La Salvetat-sur-Agout
4220.0;43.6415;2.88175;1014.0;34046;Cambon-et-Salvergues
4221.0;43.641;2.98076;792.0;34235;Rosis
4222.0;43.6403;3.07976;400.0;34308;Taussac-la-Billière
4223.0;43.6396;3.17876;321.0;34312;La Tour-sur-Orb
4224.0;43.6388;3.27776;325.0;34156;Mérifons
4225.0;43.6379;3.37675;218.0;34137;Liausson
4226.0;43.6369;3.47574;77.0;34239;Saint-André-de-Sangonis
4227.0;43.6358;3.57473;132.0;34114;Gignac
4228.0;43.6346;3.67372;189.0;34163;Montarnaud
4229.0;43.6334;3.7727;107.0;34123;Juvignac
4230.0;43.632;3.87167;57.0;34172;Montpellier
4231.0;43.6305;3.97064;28.0;34240;Saint-Aunès
4232.0;43.629;4.06961;5.0;34050;Candillargues
4233.0;43.6274;4.16857;2.0;34151;Marsillargues
4365.0;43.7122;3.0807;612.0;34019;Avène
4366.0;43.7115;3.17982;433.0;34144;Lunas-les-Châteaux
4367.0;43.7107;3.27894;403.0;34188;Olmet-et-Villecun
4368.0;43.7098;3.37806;231.0;34036;Le Bosc
4369.0;43.7088;3.47718;270.0;34011;Arboras
4370.0;43.7077;3.57629;174.0;34010;Aniane
4371.0;43.7065;3.6754;239.0;34012;Argelliers
4372.0;43.7052;3.77451;180.0;34177;Murles
4373.0;43.7039;3.87361;97.0;34290;Saint-Vincent-de-Barbeyrargues
4374.0;43.7024;3.9727;80.0;34058;Castries
4375.0;43.7009;4.07179;40.0;34146;Lunel-Viel
4508.0;43.7841;3.08163;597.0;34019;Avène
4509.0;43.7834;3.18088;605.0;34121;Joncels
4510.0;43.7826;3.28013;565.0;34132;Lauroux
4511.0;43.7817;3.37938;541.0;34251;Saint-Étienne-de-Gourgas
4512.0;43.7807;3.47862;636.0;34317;La Vacquerie-et-Saint-Martin-de-Castries
4513.0;43.7796;3.57786;402.0;34261;Saint-Guilhem-le-Désert
4514.0;43.7784;3.67709;293.0;34274;Saint-Martin-de-Londres
4515.0;43.7772;3.77632;238.0;34152;Mas-de-Londres
4516.0;43.7758;3.87555;154.0;34276;Saint-Mathieu-de-Tréviers
4517.0;43.7743;3.97477;115.0;34242;Saint-Bauzille-de-Montmel
4653.0;43.8545;3.28133;746.0;34230;Les Rives
4654.0;43.8536;3.3807;732.0;34278;Saint-Michel
4655.0;43.8526;3.48006;630.0;34277;Saint-Maurice-Navacelles
4657.0;43.8503;3.67879;281.0;34042;Brissac
4658.0;43.8491;3.77814;258.0;34185;Notre-Dame-de-Londres
4659.0;43.8477;3.87749;237.0;34078;Claret
4800.0;43.9222;3.68048;310.0;34067;Cazilhac
4801.0;43.921;3.77996;260.0;34243;Saint-Bauzille-de-Putois
